id,labels,kind,simpleName
CH.ifa.draw.standard.RelativeLocator.northWest(),Operation,method,northWest()
"CH.ifa.draw.standard.ChangeAttributeCommand.CH.ifa.draw.standard.ChangeAttributeCommand(java.lang.String,java.lang.String,java.lang.Object,CH.ifa.draw.framework.DrawingView).name",Variable,parameter,name
CH.ifa.draw.standard.RelativeLocator.west(),Operation,method,west()
"CH.ifa.draw.samples.javadraw.AnimationDecorator.basicDisplayBox(java.awt.Point,java.awt.Point).origin",Variable,parameter,origin
"CH.ifa.draw.standard.CompositeFigure.findFigure(java.awt.Rectangle,CH.ifa.draw.framework.Figure)",Operation,method,"findFigure(java.awt.Rectangle,CH.ifa.draw.framework.Figure)"
"CH.ifa.draw.standard.NorthHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).x",Variable,parameter,x
CH.ifa.draw.standard.AbstractTool.drawing(),Operation,method,drawing()
CH.ifa.draw.applet.SleeperThread,Structure,class,SleeperThread
CH.ifa.draw.framework.Connector.draw(java.awt.Graphics).g,Variable,parameter,g
CH.ifa.draw.framework.Handle.draw(java.awt.Graphics),Operation,method,draw(java.awt.Graphics)
CH.ifa.draw.figures.ElbowConnection,Structure,class,ElbowConnection
CH.ifa.draw.figures.AttributeFigure.getFillColor(),Operation,method,getFillColor()
"CH.ifa.draw.standard.CompositeFigure.findFigure(java.awt.Rectangle,CH.ifa.draw.framework.Figure).r",Variable,parameter,r
"CH.ifa.draw.figures.FontSizeHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).y",Variable,parameter,y
"CH.ifa.draw.util.PaletteLayout.CH.ifa.draw.util.PaletteLayout(int,java.awt.Point,boolean).gap",Variable,parameter,gap
CH.ifa.draw.applet.DrawApplet.readFromObjectInput(java.lang.String).filename,Variable,parameter,filename
"CH.ifa.draw.contrib.DiamondFigure.CH.ifa.draw.contrib.DiamondFigure(java.awt.Point,java.awt.Point).corner",Variable,parameter,corner
CH.ifa.draw.figures.LineConnection.figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,figureInvalidated(CH.ifa.draw.framework.FigureChangeEvent)
CH.ifa.draw.standard.AbstractHandle.CH.ifa.draw.standard.AbstractHandle(CH.ifa.draw.framework.Figure),Constructor,ctor,CH.ifa.draw.standard.AbstractHandle(CH.ifa.draw.framework.Figure)
CH.ifa.draw.samples.javadraw.BouncingDrawing.animationStep(),Operation,method,animationStep()
"CH.ifa.draw.figures.LineConnection.insertPointAt(java.awt.Point,int).i",Variable,parameter,i
"CH.ifa.draw.standard.SouthHandle.invokeStep(int,int,int,int,CH.ifa.draw.framework.DrawingView).y",Variable,parameter,y
CH.ifa.draw.figures.LineConnection.connectEnd(CH.ifa.draw.framework.Connector),Operation,method,connectEnd(CH.ifa.draw.framework.Connector)
CH.ifa.draw.util.Clipboard,Structure,class,Clipboard
CH.ifa.draw.standard.ToolButton.fName,Variable,field,fName
